Height,Images,SuitableZone,GrowingSeason,BotanicName,Herkunft,Family,Location,HumidityRequirement,Benefit,Name,Notes,FlowerColor,Soil,Usability,FloweringPeriod
bis zu 100cm,"['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Blüte-Stachelbeere-300x225.jpeg', 'https://hortus-netzwerk.de/wp-content/uploads/2018/09/Stachelbeere-300x225.jpg']","Pufferzone, Ertragszone",Strauch,Ribes uva-crispa,"ungeklärt, seit dem 16. JH kultiviert",Grossulariaceae - Stachelbeergewächse,"(Sonne), Halbschatten, Schatten",frisch - feucht,Bienen Vögel (Früchte dienen als Nahrung),Stachelbeere,"Die Herkunft der Stachelbeere ist ungeklärt, jedoch wird sie ungefähr seit dem 16. Jahrhundert bei uns angebaut. Im Handel finden sich rote, grüne, gelbe und fast weiße Varianten. Der Strauch erreicht eine Wuchshöhe von ca. 1m und bevorzugt einen hellen bis halbschattigen Standort. Bei praller Sonne können die Früchte leiden. Der Boden sollte humos und frisch bis feucht sein, Trockenheit verträgt die Stachelbeere nicht ganz so gut. Wer mehrere Stachelbeersorten anpflanzt, erhöht den Ertrag der selbstbefruchtenden Pflanzen. Der Pflanzabstand sollte ca. 150 cm betragen.  Die Früchte bilden sich vor allem an den einjährigen Seitentrieben älterer Zweige. Pro Jahr schneidet man zwei bis drei alte Bodentriebe bodennah und lässt dafür die gleiche Anzahl neuer, junger Bodentriebe stehen.  Alte Seitentriebe werden stark eingekürzt, einjährige Seitentriebe bleiben stehen, denn an ihnen entwickeln sich die neuen Früchte. Bei Bedarf kann leicht ausgelichtet werden. Über Steckhölzer sind Stachelbeeren übrigens leicht vermehrbar. Stachelbeeren enthalten Mineralstoffe, Fruchtsäuren und viel Vitamin C.",grünlich-rötlich,nährstoffreich,Essbar,April
bis zu 200cm,,"Pufferzone, Ertragszone",Strauch,Rubus idaeus,heimisch,Rosaceae - Rosengewächse,"Sonne, Halbschatten",frisch - feucht,,Himbeere,"Die bei uns heimische Himbeere wird bis zu zwei Metern hoch und ist bei uns seit ca. dem 15.JH in Kultur. In sonnigen bis halbschattigen Lagen auf nährstoffreichem Boden, der frisch bis feucht sein sollte, ist diese Pflanze am besten aufgehoben. Bei Hitzeperioden sollte man die Himbeere gut gießen, denn der Flachwurzler trocknet schnell aus. Der Pflanzabstand bei Himbeeren beträgt 40-50 cm, wobei das Pflanzen verschiedener Sorten den Ertrag erhöht.. Normale Himbeersträucher werden nach der Ernte bodennah geschnitten und nach dem Neuaustrieb ggf. leicht ausgedünnt. Wer Himbeeren ""aufbindet"", verfährt etwas anders, jede Menge Tipps dazu gibt es im Internet. Himbeeren sind reich an Vitamin C, Mineralstoffen und vor allem Kalium. Sie sollten nach der Ernte zeitnah verarbeitet werden, da sie nicht lagerfähig sind.",weißrosa,nährstoffreich,Essbar,Mai - Juni
bis zu 200cm,,"Pufferzone, Ertragszone",Strauch,Ribes nigrum,heimisch,Grossulariaceae - Stachelbeergewächse,"Sonne, Halbschatten",feucht,,Schwarze Johannisbeere,"Die Schwarze Johannisbeere wächst wild schon seit mehreren tausend Jahren in Mitteleuropa. Seit ca. dem 15. JH wird sie kultiviert. Der Strauch wird bis zu zwei Metern hoch und bevorzugt sonnige bis halbschattige Standorte, die gerne feucht und nährstoffreich sein dürfen. Der Pflanzabstand sollte ca. 1 - 1,5m betragen. Die Früchte bilden sich an den Trieben des Vorjahres. Je älter der Trieb, desto geringer der Fruchtansatz. Alte Hauptäste sollten möglichst nicht älter als vier Jahre sein, man erkennt sie an der dunklen Rinde. Die meisten Sorten der Schwarzen Johannisbeere sind selbstbefruchtend, der Ertrag erhöht sich aber, wenn mehrere Sorten gepflanzt werden. Wegen ihres hohen Gehaltes an Vitamin C und Mineralstoffen ist die Schwarze Johannisbeere sehr gesund. Je länger sie reift, desto süßer wird sie, der Pektingehalt (also das natürliche Geliermittel, wenn man Marmelade kochen möchte) nimmt jedoch ab.",gelbgrün,nährstoffreich,Essbar,April - Mai
"bis zu 100cm, wenn er nicht geerntet wird",,Pufferzone,einjährig,Spinacia oleracea,"Asien, kultiviert spätestens ab dem 14./15. JH",Amaranthaceae - Fuchsschwanzgewächse ,"Sonne, Halbschatten",feucht,,Spinat,"Dieses schmackhafte Blattgemüse stammt vermutlich aus Asien und wurde wahrscheinlich von den Mauren nach Spanien gebracht. Von dort aus verbreitete es sich dann schnell in ganz Europa, vo es spätestens im 15. JH fast überall bekannt war. Es gibt zahlreiche Spinatsorten, so dass dieses Gemüse ganzjährig angebaut werden kann. Winterspinat kann in geschützten Lagen Temperaturen bis zu ca. -12°C vertragen. Die Wachstumsdauer beträgt ca. 4-6 Wochen, gesät wird in Reihenabständen von 20 cm und innerhalb der Reihe mit einem Abstand von 3 cm. Spinat kann zu fast allen Gemüsesorten gepflanzt werden, lediglich mit Roter Beete ist die Nachbarschaft schwierig.",grüngelb,nährstoffreich,,Juni bis September
ca. 10-30 cm,,Pufferzone,einjährig,Claytonia perfoliata,Nordamerika,Montiaceae - Quellkrautgewächse,"Sonne, Halbschatten",mäßig feucht,,Winter-Portulak,"Das Tellerkraut stammt ursprünglich aus Nordamerika und wird in unseren Breiten seit ca. 250-300 Jahren angebaut. Nicht zu verwechseln ist das Tellerkraut mit dem Echten Portulak, auch Sommer-Portulak (Portulaca oleracea) genannt. Diser zählt zwar ebenfalls zu den Wildgemüsen, gehört aber einer ganz anderen Pflanzengruppe an. Tellerkraut wird ab EndeSeptember/Oktober in unbeheizten Gewächshäusern ausgesät. In milden Wintern beginnt die Ernte bereits im Januar und dauert bis in den März hinein. Der Ertrag ist gut, weil das Wildgemüse nach jedem Rückschnitt wieder austreibt und auf diese Weise 4 bis 5x geerntet werden kann. Winter-Portulak gehört zu den Schwachzehrern und kann zu allen Gemüsesorten gepflanzt werden, lediglich mit Sommer-Portulak verträgt er sich nicht.",weiß,nährstoffreich,,April - Juni
ca. 20-25 cm,,Pufferzone,einjährig,Lactuca sativavar. crispa,vermutlich Vorderasien,Asteraceae - Korbblütengewächse,"Sonne, Halbschatten",feucht,,Pflücksalat,"Der Pflücksalat stammt wahrscheinlich aus dem vorderasiatischen Raum und ist bei uns schon sehr lange kultiviert. Man kann ihn in den unterschiedlichsten Formen und Farben erwerben und kann ab März ins Freiland gesät werden. Die Wachstumsdauer beträgt ca. 5-6 Wochen, gesät wird in Reihenabständen von 20 cm und innerhalb der Reihe mit einem Abstand von 5 cm. Die Ernte erfolgt blattweise über 4-5 Wochen. Je nach Literatur wird der Pflücksalat als Schwach- bis mittelzehrer eingestuft und kann zu fast allen Gemüsesorten gepflanzt werden. Vereinzelt finden sich Hinweise, dass eine Nachbarschaft zu Petersilie oder Sellerie ungünstig sein soll.",grüngelb,nährstoffreich,,Juni bis August
ca. 20-30 cm,,Pufferzone,einjährig,Portulaca oleracea,"vermutlich Vorderasien, Erwähnung schon im 12. JH",Portulacaceae - Portulakgewächse,"Sonne, Halbschatten",mäßig feucht,,Sommer-Portulak,"Portulak stammt ursprünglich aus Afrika und Kleinasien und wurde bereits von Hildegard von Bingen im 12. JH in ihren Schriften erwähnt. Das säuerliche und sehr gesunde Wildgemüse kann von bis angebaut werden. Nicht zu verwechseln ist der Echte Portulak, auch Sommer-Portulak genannt, mit dem frostfesten Winterportulak (Claytonia perfoliata). Er zählt zwar ebenfalls zu den Wildgemüsen, gehört aber einer ganz anderen Pflanzengruppe an.  Gesät wird Portulak ab Mitte Mai direkt ins Freiland. Die Wachstumsdauer beträgt ca. 4-6 Wochen, gesät wird in Reihenabständen von 10 cm und innerhalb der Reihe mit einem Abstand von 2 cm. Sommer-Portulak gehört zu den Schwachzehrern und kann zu allen Gemüsesorten gepflanzt werden, lediglich mit Winter-Portulak verträgt er sich nicht.",weiß oder gelb,nährstoffreich,,Juni bis Oktober
ca. 20-25 cm,,Pufferzone,einjährig,Raphanus sativus var. sativus,"unbekannt, seit mind. 400 Jahren bei uns kultiviert",Brassicaceae - Kreuzblütengewächse,"Sonne, Halbschatten",feucht,,Radieschen,"Die Herkunft des Radieschens ist nicht genau bekannt, wilde Formen wurden sowohl in China als auch in Vorderasien gefunden. In Europa gibt es sie seit etwa 400 Jahren. Radischen sind in vielerlei Farben und Formen erhältlich und kann vom zeitigen Frühjahr bis zum Frühherbst angebaut werden. Die Wachstumsdauer beträgt ca. 5-7 Wochen, gesät wird in Reihenabständen von 20 cm und innerhalb der Reihe mit einem Abstand von 3 cm. Radieschen gehören zu den Schwachzehrern und sollten nicht zusammen mit folgenden Gemüsesorten gepflanzt werden: Grünkohl, Gurken, Rettich, Rosenkohl oder Zwiebeln.",weiß bis blasslila,nährstoffreich,,Juni bis September
20-50cm,"['https://hortus-netzwerk.de/wp-content/uploads/2018/09/Ruprechtskraut-300x225.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2018/09/Geranium-robertianum-300x225.jpg']","Pufferzone, Magerzone",zweijährig,Geranium robertianum,heimisch,Geraniaceae - Storchschnabelgewächse,"Halbschatten, Schatten",frisch - feucht,Bienen,Ruprechtskraut,"Der heimische Ruprechts-Storchenschnabel ist ein sehr anspruchsloses Kraut. Die bis zu 50 cm hohe zweijährige Pflanze wächst sowohl auf magerem als auch auf humosem Boden. Der Standort sollte schattig bis halbschattig sein und der Untergrund frisch bis feucht. Damit ist der Ruprechts-Storchenschnabel nicht nur sehr gut für Mager-Schattenbeete geeignet, sondern auch für Unterpflanzungen. Die rosafarbenen Blüten werden von Mai bis Oktober vor allem von Bienen angeflogen.",rosa/violett,mager - humos,"Essbar, Heilpflanze",Mai bis Oktober
Bis ca. 50 cm,,"Magerzone, Pufferzone",mehrjährig,Polypodium vulgare,heimisch,Polypodiaceae - Tüpfelfarngewächse,Halbschatten - Schatten,frisch - feucht,,Gewöhnlicher Tüpfelfarn,"Der heimische Gewöhnliche Tüpfelfarn wird bis zu 50 cm hoch und wächst in halbschattigen und schattigen Lagen. Der Boden sollte frisch bis feucht sein, ohne direkte Sonneneinstrahlung können auch kürzere Trockenperioden überstanden werden. Zuviele Nährstoffe verträgt der Gewöhnliche Tüpfelfarn nicht, ein magerer bis mäßig humoser Standort ist optimal. Farne führen meist ein eher unscheinbares Dasein in Gärten und nur wenige wissen, dass diese Pflanzen vor ca. 400 Millionen Jahren eine der ersten Gewächse waren, die auf dem Festland aufrecht wuchsen. Aus ihnen entstanden ca. 15 Millionen Jahre später die ersten Wälder. Farne bieten Schutz und Lebensraum für allerlei Insekten, Spinnen- und Kleintiere. Sie beschatten den Boden und tragen zum Klimaschutz bei, indem sie der Luft viel Kohlendioxid entziehen und in Sauerstoff umwandeln.",-,mager bis leicht nährstoffreich,,-
Bis ca. 100 cm,"['https://hortus-netzwerk.de/wp-content/uploads/asgarosforum/6197/nachtviole_weiss1.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2018/09/Samenstand-Nachtviole-300x225.jpeg']",Magerzone,zweijährig,Hesperis matronalis,heimisch,Brassicaceae - Kreuzblütengewächse,Sonne - Halbschatten - Schatten,trocken,"Bienen, sehr viele Nachtfalter Raupenfutter, Fledermäuse",Nachtviole,"Die heimische Nachviole hat keine besonderen Ansprüche an die Lichtverhältnisse. Sie blüht üppiger an hellen Standorten, gedeiht aber auch im Schatten. Egal, ob mager oder nährstoffreich, die Nachtviole wächst auf jedem Boden, der trocken bis leicht feucht ist. Kurz gesagt: Die Nachtviole wächst fast überall. Die bis zu 100 cm hohe zwei- bis mehrjährige Pflanze blüht von Mai bis Juli und wird von vielen Bienen und Schmetterlingen angeflogen. Darunter sind auch vielen Nachtfalter, denn der Name der Nachtviole ist Programm - sie blüht auch nachts. Wer also die Nachtviole in seinem Hortus hat unterstützt damit auch Fledermäuse. Darüber hinaus dient die Pflanze auch als Raupenfutter.",violett,mager bis nährstoffreich,Alle Pflanzenteile sind giftig,Mai bis Juli
Bis ca. 35 cm,,Magerzone,mehrjährig,Asplenium scolopendrium,heimisch,Aspleniaceae - Streifenfarngewächse,Schatten,frisch - feucht,,Hirschzungenfarn,"Der heimische Hirschzungenfarn wird bis zu 35 cm hoch und bevorzugt schattige Lagen. Der Boden sollte mager und frisch bis feucht sein. Farne führen meist ein eher unscheinbares Dasein in Gärten und nur wenige wissen, dass diese Pflanzen vor ca. 400 Millionen Jahren eine der ersten Gewächse waren, die auf dem Festland aufrecht wuchsen. Aus ihnen entstanden ca. 15 Millionen Jahre später die ersten Wälder. Farne bieten Schutz und Lebensraum für allerlei Insekten, Spinnen- und Kleintiere. Sie beschatten den Boden und tragen zum Klimaschutz bei, indem sie der Luft viel Kohlendioxid entziehen und in Sauerstoff umwandeln.",-,mager,,-
Bis ca. 80 - 100 cm,['https://hortus-netzwerk.de/wp-content/uploads/2020/12/Hypericum-androsaemum-225x300.jpg'],"Magerzone, Pufferzone",mehrjährig,Hypericum androsaemum,heimisch,Hypericaceae - Hartheugewächse,Halbschatten - Schatten,frisch - feucht,zahlreiche Insekten,Blut-Johanniskraut,"Das Blut-Johanniskraut ist ein heimischer Kleinstrauch, der 80-100 cm Höhe erreicht. Oft wächst er kriechend, kann dann aber bei Bedarf mit einem Stützring aufrecht gehalten werden. Die Pflanze bevorzugt schattige bis halbschattige Standorte, die mager bis humos und frisch bis feucht sind.  Ab Juli werden die gelben Blüten von zahlreichen Insekten angeflogen, die schwarzen Früchte dienen in den Wintermonaten Vögeln und Kleintieren als Nahrung.",gelb,mager - humos,,Mai bis Juli
max. 15 m,,Pufferzone,Gehölz,Acer campestre,heimisch,Sapindaceae - Seifenbaumgewächse,Sonne - Halbschatten - Schatten,trocken - frisch - feucht,"Bienen, Schmetterlinge, Raupen, Vogelschutz- und Vogelnist-Gehölz",Feldahorn,"Der in Europa heimische Feldahorn ist ein bis zu 15 Meter hoher Baum, der eine Breite von ca. 9 Metern erreichen kann. Sein Wachstum pro Jahr liegt bei ca. 50-60 cm. Kaum ein Baum ist so vielseitig wie der Feldahorn. Er kommt mit längeren Trockenphasen ebenso zurecht, wie mit „nassen Füßen“ für einen kürzeren Zeitraum. Normaler Gartengrund ist ihm zwar lieber, aber er wächst auch auf verdichteten Böden. Er verträgt sowohl Sonne wie auch Schatten und ist extrem schnittverträglich. Dadurch kann er ebenso gut zu einer wind- und blickdichten - durchaus hohen - Hecke kultiviert werden, die ein gutes Vogelschutz- und Vogelnist-Gehölz abgibt.",grüngelb,nährstoffreich,,Mai
max. 25 m,"['https://hortus-netzwerk.de/wp-content/uploads/2020/10/IMG_0818-225x300.jpg', 'https://hortus-netzwerk.de/wp-content/uploads/2020/10/IMG_0822-225x300.jpg']",Pufferzone,Gehölz,Aesculus hippocastanum,"Balkan, eingeführt im 16. JH",Sapindaceae - Seifenbaumgewächse,Sonne - Halbschatten - Schatten,frisch - feucht,Nahrung für Wild und Kleintiere,Rosskastanie,"Für eine Rosskastanie braucht man vor allem eines: Platz! Der imposante Baum kann eine Höhe von bis zu 25 Metern und eine Breite von bis zu 20 Metern erreichen. Sein dichtes Blattwerk spendet reichlich Schatten in heißen Sommern. Im Mai schmückt die um das 16. JH herum in Mitteleuropa eingeführte Rosskastanie jeden Garten mit ihren großen weißen Blüten, die stark von Insekten angeflogen werden. Im Herbst dienen die Kastanien nicht nur als Bastelmaterial, sondern auch als Waschmittel oder Wildfutter. Der Standort für eine Rosskastanie kann sonnig bis schattig sein, der Boden nährstoffreich und frisch bis feucht. In den letzten Jahren hat der Schädlingsbefall durch die Larven der Miniermotte stark zugenommen und vermehrt auftretende lange Trockenperioden schwächen viele der schönen Bäume zusätzlich, so dass sie krankheitsanfällig werden können.",weißrosa,nährstoffreich,Kastanien können als Waschmittel genutzt werden.,Mai
max. 6 m,,Pufferzone,Gehölz,Prunus mahaleb,"Südeuropa/Nordafrika, seit ca. dem 17. JH bei uns bekannt",Rosengewächse - Rosaceae,Sonne,trocken - frisch,"Nahrung für Insekten, Vögel, Kleintiere",Steinweichsel,"Die kleine Steinweichsel erreicht bei einem jährlichen Zuwachs von maximal 40 cm ihre Endhöhe von nur ca. 6 Metern relativ schnell. Mit 4-5 Metern Breite gehört sie zu den schmalern Bäumen. Ursprünglich aus Südeuropa/Nordafrika stammend ist die Steinweichsel seit ca. zwei Jahrhunderten in Mitteleuropa bekannt. In Regionen, in denen lange Trockenperioden zunehmen, gewinnt dieser Baum zunehmend an Bedeutung, denn er kommt damit gut zurecht. Er stellt kaum Ansprüche an den Boden und bevorzugt einen sonnigen Standort, der nicht zu feucht sein sollte. Seine Blüten werden im Frühjahr von Insekten gut angeflogen und die kleinen Früchte dienen vor allem Vögeln als Nahrung, denn diese sind zwar für uns Menschen genießbar, aber bitter und herb. Die Steinweichsel verträgt starken Rückschnitt, wächst dann aber eher strauchartig und kann deshalb auch als Heckengehölz genutzt werden.",weiß,humos,,April - Mai
max. 15 m,,Pufferzone,Gehölz,Sorbus torminalis,heimisch,Rosengewächse - Rosaceae,Sonne - Halbschatten,frisch - feucht,Nahrung für Vögel und Kleintiere,Elsbeere,"Schon die Römer kannten die in Mittel- und Südeuropa heimische Elsbeere. Sie wächst pro Jahr bis zu 50cm bis sie eine maximale Höhe von ca. 15 Metern und Breite von bis zu 10-12 Metern erreicht hat. Die ahornähnlichen Blätter färben sich im Herbst orange bis rot und werden zu einem wunderschönen Blickfang. Die kleinen Früchte der Elsbeere sind essbar, wenn sie überreif geerntet werden, den meisten sind die Beeren aber viel zu sauer. Daher finden sie vorwiegend bei der Wein-/Schnapsherstellung Verwendung. Wer sie nicht selbst verwendet, macht Vögeln und Kleintieren eine große Freude, denn bei ihnen sind die sauren Beeren als Nahrung sehr beliebt. Die Elsbeere bevorzugt nährstoffreiche Böden in sonniger bis halbschattiger Lage, wächst aber auch auf weniger guten Böden. Als tiefgehender Herzwurzler kommt der Baum mit längeren Trockenperioden zurecht.",weiß,nährstoffreich,Früchte für Wein-/Schnapsherstellung,Mai - Juli
max. 40 m,,Pufferzone,Gehölz,Quercus petraea,heimisch,Fagaceae - Buchengewächse,Sonne - Halbschatten,frisch - feucht,Eicheln sind Nahrung für Wild und Kleintiere,Trauben-Eiche,"Die heimische Trauben-Eiche wächst pro Jahr ca. 30-50 cm, bis sie eine Höhe von bis zu 40 Metern und eine Breite von bis zu 20 Metern erreicht hat. Das dichte Blattwerk dieses mächtigen Baums ist nicht nur hervorragende Raupennahrung, sondern auch ein guter Schattenspender in heißen Sommern, zumal die Trauben-Eiche mit Trockenheit besser zurecht kommt als manch anderer Baum. Der Standort sollte sonnig bis halbschattig sein, an den Boden stellt die Trauben-Eiche keine besonderen Ansprüche. Die Eicheln im Herbst dienen vielen Tieren als Nahrung und eignen sich gut für Herbstdekorationen.",grün,humos,,April - Mai
